Date,Cruise,Haul,START_LONGITUDE,END_LONGITUDE,START_LATITUDE,END_LATITUDE
7/20/2021,202101,183,,,,
7/20/2021,202101,183,,,,
7/21/2021,202101,187,,,,
7/21/2021,202101,187,,,,
7/22/2021,202101,191,,,,
7/22/2021,202101,191,,,,
7/22/2021,202101,193,,,,
7/22/2021,202101,193,,,,
7/23/2021,202102,2,,,,
7/23/2021,202102,2,,,,
7/24/2021,202102,7,,,,
7/24/2021,202102,7,,,,
7/24/2021,202102,9,,,,
7/24/2021,202102,9,,,,
7/25/2021,202102,13,,,,
7/25/2021,202102,13,,,,
7/26/2021,202102,16,,,,
7/26/2021,202102,16,,,,
7/26/2021,202102,19,,,,
7/26/2021,202102,19,,,,
7/26/2021,202102,20,,,,
7/26/2021,202102,20,,,,
7/27/2021,202102,22,,,,
7/27/2021,202102,22,,,,
7/27/2021,202102,23,,,,
7/27/2021,202102,23,,,,
7/28/2021,202102,26,,,,
7/28/2021,202102,26,,,,
7/28/2021,202102,27,,,,
7/28/2021,202102,27,,,,
7/29/2021,202102,29,,,,
7/29/2021,202102,29,,,,
7/29/2021,202102,32,,,,
7/29/2021,202102,32,,,,
7/30/2021,202102,34,,,,
7/30/2021,202102,34,,,,
7/30/2021,202102,36,,,,
7/30/2021,202102,36,,,,
